"都道府県","lon","lat","age0_4(%)","age5_9(%)","age10_14(%)","age15_19(%)","age20_24(%)","age25_29(%)","age30_34(%)","age35_39(%)","age40_44(%)","age45_49(%)","age50_54(%)","age55_59(%)","age60_64(%)","age65_69(%)","age70_74(%)","age75_79(%)","age80_84(%)","age85_89(%)","age90_94(%)","age95_99(%)","over100(%)","unknown(%)"
"愛知県",136.9065647,35.1801883,4.6734736535011,4.7667574495808,4.93427155988508,4.88036316044368,5.45140086947029,6.23759988740634,6.99131892600435,8.34956770051597,7.28513657041915,6.37730293106512,5.57953958313627,6.06499855142261,7.43837406329939,6.2676779405615,5.0558656994011,3.95006206550269,2.66810818221552,1.42350560046873,0.582237701901799,0.165449533304393,0.0212395045608935,0.835748865933251
"愛媛県",132.7656808,33.8416238,3.94748699434786,4.28622424280105,4.70236319702576,4.58584149555744,4.09530469237363,4.91982845881887,5.78906079177474,6.78815753901696,5.89608192285956,5.94477234607504,6.25298202645769,7.27464262836074,8.45997849797379,6.57278799127903,5.8645763548966,5.52702667774135,4.43215579817715,2.59267771480545,1.08711673756002,0.320644250443418,0.0502971373244578,0.609992504329396
"茨城県",140.4467935,36.3418112,4.11917421214438,4.51247066271125,4.82522215525108,4.86502321728619,4.89920094822158,5.62548614875899,6.3653077511053,7.45337180993814,6.56670381881425,6.11892503459864,6.28876983739482,7.44737807978396,8.06840260356863,6.50642979085923,5.2820588799806,4.31737137892833,3.33961889304559,1.92119255026484,0.780464480414308,0.219949693073874,0.0274095300309452,0.450068523825077
"岡山県",133.9344057,34.6617511,4.24047795788361,4.54958576572168,4.82512507222626,4.8662503418538,5.01101129094278,5.37291366366521,6.04572307477191,7.22000374239954,6.02639419804696,5.63297958747242,5.83526450745293,6.53948334323767,8.03227922413066,6.61417711419871,5.45840281790348,5.15263643822265,3.99285242813873,2.31771738303459,1.01815886280404,0.313374554561923,0.0503784552937475,0.884810176036717
"沖縄県",127.6809317,26.2124013,5.80061429418632,5.8458463345534,6.03804660766877,5.99338894241746,5.49576470149007,6.18774312221697,6.80153473030934,7.55310456929764,6.59282117261552,6.36199417296445,6.59928289266796,7.07292697251184,5.81217359339124,4.22697007074865,4.40021596504353,3.62674807476641,2.51806050754657,1.43162997606292,0.746687650504229,0.254735363845097,0.0626068876192008,0.577103397572404
"岩手県",141.1526839,39.7036194,3.73530143660813,4.2500565726946,4.70526941759069,4.85938772180819,4.11525944124973,4.80232635941742,5.63080621916224,6.24494886655385,5.8607056212584,6.17330265000786,6.66452655232843,7.66058187553706,7.81462500009397,6.35433527271798,6.30486705604719,6.02264261017767,4.58392944539213,2.49543847409346,1.02514985185848,0.278089564536852,0.037665009957546,0.380784980908125
"岐阜県",136.7222906,35.3912272,4.21540456359247,4.68407654270793,5.0255361829474,4.88611684215433,4.73400990881754,5.25439343936124,6.07091691405069,7.27969845821721,6.43063899810311,6.14608128805977,5.93764913327883,6.78949601902754,8.12116458643014,6.62172183126175,5.65991581013402,4.86429802770413,3.68093972768774,2.05524581489668,0.848098278860789,0.238805482385633,0.0316228632340001,0.424169287087058
"宮崎県",131.4238934,31.9110956,4.4023561682932,4.57174870709361,4.99553836084751,4.89265199302698,4.12488009069504,5.0004712688937,5.78709392697358,6.23184843992379,5.52609023874394,5.92283698588748,6.70435056063381,7.71277790550486,8.07182314115252,6.06615558215802,5.79845723300855,5.58854437811445,4.31136163236974,2.44769135499056,1.07775232044875,0.320198584783917,0.0498576063239881,0.395513520131991
"宮城県",140.8721,38.2688373,4.07688556809253,4.39415458453729,4.65414483224135,5.11079928369599,5.54386084453179,5.93923340140067,6.61299355028288,7.1748791077288,6.3019847412767,6.15331546122185,6.39874114468106,7.28922371298439,7.42439308992341,5.70488019368315,5.1946094077716,4.71001824829175,3.58173297021291,1.98793526008607,0.763745307506074,0.207097882814879,0.0287458504832497,0.746625556551605
"京都府",135.7555968,35.0212466,4.00448846246641,4.22341101903879,4.45921462528622,4.96113185730999,5.99952505451251,5.61911344520601,6.33062123780202,7.53577644482818,6.5605449278705,5.9241103876496,5.40064610795071,6.19974568414152,8.20604895428536,6.70132150167748,5.41942390478026,4.58238938549944,3.30219886104127,1.85907775601155,0.812111261670685,0.257881743125809,0.0431320302933282,1.59808534755236
"熊本県",130.7416672,32.789827,4.35924213695633,4.51506691331587,4.85973018983992,4.98820859831432,4.63325604453772,5.25270354886526,5.79599939694931,6.18825745862555,5.70460640488251,5.9998591414451,6.53666229051417,7.41328670328255,7.65137067478951,5.86527319406677,5.65321504149275,5.469493668518,4.35731633640104,2.61188075883145,1.14645658200114,0.333108473192306,0.0534822325640769,0.611524210614352
"群馬県",139.0604061,36.3906675,4.15468998061819,4.61777190812263,4.93349826798694,4.79784549128814,4.47146212180066,5.22193471535824,6.25959877852742,7.503331560485,6.67955467643526,6.11015164825096,6.0134915749865,7.10085515032359,8.17073923791425,6.49848511106198,5.33716985679768,4.64949394144023,3.67243539561409,2.10759794987022,0.883984008509672,0.247053386638301,0.0352577701551939,0.533597467814835
"広島県",132.4596225,34.3965603,4.33851262780739,4.48693524425413,4.6958315127152,4.7598706632876,4.79237962072883,5.34971598357074,6.24437647470069,7.56196801538058,6.43229922223193,5.88405138512628,5.84203443153019,6.69527221882374,8.1363977977803,6.62015205802674,5.30161670890501,4.67101284628157,3.60506860089137,2.15569343703574,0.955938128113257,0.294992571878004,0.0487634361618457,1.12711701476885
"香川県",134.0434436,34.3401491,4.08006490989534,4.49609476202048,4.6458173083682,4.41304945965324,4.01399017113157,4.91845091892087,6.01962961995979,7.13486677605484,5.97012377465501,5.65461187618116,6.03639934849103,6.97600623392064,8.65659411834407,6.40131667473354,5.52999371386224,5.31650603208139,4.26071605736653,2.4708738936498,1.06733799136811,0.335093318016312,0.0484012524075104,1.55406178891832
"高知県",133.5310786,33.5597062,3.64769195349373,4.03842732609856,4.45297047835323,4.58966899337568,3.80414307690698,4.61347677302552,5.57363667758511,6.55394162646379,5.54315748715426,5.76802327406679,6.16935441673556,7.20603932731249,8.72215013028873,6.82956246010235,5.96280230647676,5.98778739391149,4.98707577676151,3.0233263915778,1.2920298879203,0.390212124700441,0.0635746203836454,0.780947497305273
"佐賀県",130.2997942,33.2494416,4.44463795676098,4.80849341247464,5.27366825608269,5.15622720019581,4.58655570565835,5.30555856284156,5.88134923063164,6.26873996808616,5.73460674897739,5.9297142346091,6.51291851614756,7.61095708576727,7.64096456998687,5.77944146069373,5.40793703841429,5.20718108516477,4.16209689946198,2.49721106911371,1.06791340899142,0.314313687649155,0.0518952962385913,0.357618606052333
"埼玉県",139.6488487,35.8569991,4.19186395936038,4.41273929899218,4.65080819441811,4.95164677292108,5.40718565537609,5.87970960264956,6.83393110012626,8.42948473818259,7.49155333560542,6.42381545157199,5.8188858353455,6.70885041411868,8.06468112834204,6.87080620402427,5.33255978548225,3.78683549061262,2.3832047453658,1.27767439714139,0.53889357453052,0.151294951349326,0.0194035601363031,0.374171804347621
"三重県",136.5085883,34.7302829,4.22111322223684,4.5661780405063,4.86293378421803,4.77041327981953,4.63869556872074,5.28030046519051,6.1148720780019,7.40320392683763,6.54776667579651,6.32088655778434,5.96520021307753,6.69204690293542,7.85394484570211,6.56841664851482,5.6222381335444,4.96251733411548,3.78622371846161,2.03739208636972,0.850261278767083,0.246505679551243,0.0326194086020346,0.656270151246223
"山形県",140.3636333,38.2404355,3.82633943695227,4.2829131748514,4.70244429920166,4.69645588592586,4.12704333215846,4.88902614712334,5.68428743014944,6.0439344217417,5.62175128579788,6.04478990935253,6.74141347085011,7.72582306463038,7.80572560748175,6.04966618873426,6.07019789139414,6.02614027943647,5.04934452539258,2.87520831123324,1.11452925938727,0.297025298479627,0.0408067590365156,0.285134020689112
"山口県",131.4706493,34.1859563,3.89840271528755,4.23781365884446,4.54511629958011,4.50143247127823,4.23354173872661,4.76656712633446,5.56858567749208,6.67418616476658,5.75723918205132,5.50009715173171,5.98020585142813,7.25537400660632,8.87760122039112,7.1520211005293,6.20889138160787,5.84481354446724,4.47621436219544,2.65520505905585,1.14521910127069,0.346301137295378,0.0555349615320484,0.319636087527509
"山梨県",138.5684486,35.6641575,3.94809257596385,4.43553572980332,4.97986849346812,5.21600092691829,4.71442226921183,4.96283636995626,5.76380963415694,6.91029168959824,6.73012194768705,6.449845030849,6.25322248935492,6.95895489963213,7.61741447730498,6.30269675288938,5.43904063957362,4.91498421342294,3.98574863134722,2.41937259218492,1.09086695825971,0.316658459577673,0.0454189960316311,0.544796222807983
"滋賀県",135.8685899,35.0045306,4.76680580984805,5.02304758299859,5.14893565744267,5.15836308644102,5.63122307777912,5.78106958080547,6.71792919788173,7.80612385940514,6.63513794171581,6.14384838992981,5.83090027693959,6.4783449120591,7.44036796743922,5.85904079808503,4.66700265173022,4.07201138096241,3.11813986193424,1.74173522817568,0.769150617000419,0.21243612562439,0.0306214235134256,0.967764572288888
